,LinearRegressionOnFriendsList Errlat,LinearRegressionOnFriendsList ErrLon,LinearRegressionOnFriendsList ErrAvg,BaggedRegression Errlat,BaggedRegression ErrLon,BaggedRegression ErrAvg,KnnRegression Errlat,KnnRegression ErrLon,KnnRegression ErrAvg
1,12.11955575,39.84364649,25.98160112,12.2735755,40.99385815,26.63371683,24.83855482,65.98150044,45.41002763
2,12.11953584,39.81051446,25.96502515,12.46403825,40.80611615,26.6350772,25.00129445,67.02910425,46.01519935
3,12.11910363,39.82024091,25.96967227,12.27151071,40.88185332,26.57668201,22.44017059,64.01358838,43.22687948
4,12.11911469,39.83506377,25.97708923,12.33532921,40.84569772,26.59051347,23.69426709,57.51317495,40.60372102
5,12.12231821,39.83321229,25.97776525,12.43374292,40.82697604,26.63035948,23.64014595,66.5486268,45.09438637
6,12.12165069,39.81130586,25.96647828,12.30425574,40.95431167,26.62928371,22.79402829,63.9522853,43.37315679
7,12.12082607,39.84103841,25.98093224,12.37050098,40.82626354,26.59838226,24.84616162,63.99111765,44.41863964
8,12.11911299,39.7797267,25.94941985,12.35619178,41.00529957,26.68074567,23.6637818,63.86151041,43.7626461
9,12.11857614,39.82649151,25.97253383,12.26674763,40.82410129,26.54542446,22.86397297,63.22106939,43.04252118
10,12.12115822,39.85514741,25.98815281,12.21955928,40.90570035,26.56262982,23.50463566,62.96542026,43.23502796
